,context_word,collocate_count,total_count,MI-score
0,stick,1,18,11.700396367278218
1,run,2,40,11.85239946072327
2,ont,2,3,8.115433866557062
3,cried,3,63,11.922788788614668
4,times,1,82,13.88802337045399
5,bent,1,12,11.115433866557062
6,judy,4,54,11.285358867999376
7,you,10,2061,15.2176720604878
8,happen,1,5,9.852399460723268
9,foe,1,9,10.70039636727822
10,fellow,1,34,12.617934207086245
11,new,1,63,13.507751289335822
12,it,6,2537,16.25441666917869
13,still,1,167,14.914175658309958
14,poor,4,246,13.472985871175148
15,means,1,40,12.85239946072327
16,very,2,415,15.227438892070193
17,calmly,1,17,11.617934207086245
18,behind,3,53,11.673429319677949
19,wounded,1,6,10.115433866557062
20,laughed,1,19,11.778398879279493
21,lifted,1,19,11.778398879279493
22,more,1,537,16.59924964382132
23,stableyard,1,2,8.530471365835908
24,terrible,1,19,11.778398879279493
25,too,1,244,15.461208703398793
26,answered,1,28,12.337826287893511
27,loose,2,15,10.437361961444426
28,throng,1,2,8.530471365835908
29,floored,1,2,8.530471365835908
30,boundless,1,1,7.530471365835907
31,tie,1,7,10.337826287893511
32,splash,1,4,9.530471365835906
33,walked,1,23,12.05403332189292
34,skating,1,6,10.115433866557062
35,home,1,120,14.437361961444424
36,ever,3,252,13.922788788614668
37,convinced,1,9,10.70039636727822
38,craning,2,1,6.530471365835907
39,london,1,146,14.720295924715924
40,already,1,50,13.174327555610633
41,sedately,1,1,7.530471365835907
42,finest,2,9,9.700396367278218
43,struck,1,36,12.700396367278218
44,the,82,9466,14.381458567956185
45,anyhow,1,11,10.989902984473204
46,can,1,322,15.861388243950525
47,vendetta,1,25,12.174327555610633
48,blood,3,67,12.011598055572522
49,hate,1,34,12.617934207086245
50,greatest,1,10,10.852399460723268
51,maintaining,1,2,8.530471365835908
52,serious,2,9,9.700396367278218
53,curdled,1,2,8.530471365835908
54,disappeared,1,4,9.530471365835906
55,relieve,1,8,10.530471365835906
56,cab,1,18,11.700396367278218
57,horse,1,26,12.230911083976999
58,she,1,1216,17.778398879279493
59,temporary,1,1,7.530471365835907
60,has,1,225,15.344252557052943
61,ston,1,4,9.530471365835906
62,lightly,1,13,11.230911083976999
63,giudice,2,68,12.617934207086245
64,afflicted,1,2,8.530471365835908
65,been,2,464,15.388452360963479
66,now,5,713,14.686301537392433
67,after,2,263,14.569390355128208
68,t,1,520,16.55283917886436
69,but,2,1584,17.159827985915516
70,is,2,916,16.36967515393285
71,said,1,228,15.363361380000647
72,absolutely,1,1,7.530471365835907
73,distemper,1,1,7.530471365835907
74,institution,1,4,9.530471365835906
75,me,11,1970,15.015019661542349
76,us,3,293,14.140265719536998
77,mountain,1,19,11.778398879279493
78,doing,1,31,12.48466767622278
79,jam,1,2,8.530471365835908
80,gaunt,2,3,8.115433866557062
81,conrad,3,75,12.174327555610633
82,unlucky,1,8,10.530471365835906
83,snatches,1,1,7.530471365835907
84,indulge,1,9,10.70039636727822
85,mouth,1,37,12.739924731464857
86,through,1,222,15.324887232186011
87,let,4,201,13.181523057014836
88,worth,2,37,11.739924731464855
89,alone,1,57,13.363361380000647
90,mark,1,15,11.437361961444426
91,how,1,393,16.148856868094512
92,found,1,162,14.870321368720532
93,deep,1,70,13.659754382780873
94,society,1,14,11.33782628789351
95,water,1,87,13.973414861684635
96,for,8,1910,15.429828288759017
97,an,6,367,13.465145117957963
98,conny,1,43,12.956736120538004
99,nursed,1,5,9.852399460723268
100,sundays,1,3,9.115433866557062
101,obligation,1,4,9.530471365835906
102,than,2,388,15.130384208023035
103,sure,1,182,15.038266006034604
104,strove,1,8,10.530471365835906
105,road,2,36,11.700396367278218
106,owned,2,15,10.437361961444426
107,on,5,955,15.107900193871656
108,wagged,1,5,9.852399460723268
109,your,2,537,15.599249643821318
110,that,12,2148,15.014287143100164
111,excuse,1,25,12.174327555610633
112,its,1,131,14.563894367373358
113,quick,1,44,12.989902984473204
114,approached,1,6,10.115433866557062
115,fell,1,112,14.337826287893511
116,honour,1,28,12.337826287893511
117,kill,1,17,11.617934207086245
118,upon,1,395,16.156180208900373
119,placed,1,29,12.38845236096348
120,of,22,4949,15.343961074065612
121,dusty,1,4,9.530471365835906
122,forget,1,24,12.115433866557062
123,half,2,134,13.596560556293678
124,whistle,1,6,10.115433866557062
125,nearly,1,44,12.989902984473204
126,braight,1,1,7.530471365835907
127,owner,2,15,10.437361961444426
128,over,4,220,13.311831079360566
