,context_word,collocate_count,total_count,MI-score
0,cart,2,5,12.389953933464726
1,collar,2,5,12.389953933464726
2,meant,1,39,16.35342805743961
3,a,3,2046,20.481653767601536
4,watched,1,13,14.768465556718455
5,for,1,660,20.43434805282318
6,loving,1,15,14.97491643418588
7,but,1,709,20.53766765581688
8,and,2,3890,21.993580278450917
9,avenue,1,1,11.068025838577363
10,at,1,665,20.445236368965915
11,faithful,1,19,15.31595335202095
12,note,1,17,15.155488679827702
13,as,1,684,20.48587835346326
14,took,1,84,17.460343261356126
15,in,2,1639,20.74662597767682
16,driven,1,5,13.389953933464726
17,swiftly,1,4,13.068025838577363
18,heart,1,98,17.68273568269257
19,concluded,1,8,14.068025838577363
20,creation,1,2,12.068025838577363
21,was,1,997,21.02947553297556
22,off,2,74,16.277479204206312
23,the,3,5151,21.813700162579497
24,eyes,1,148,18.277479204206315
25,start,1,9,14.237950840019675
26,clerical,1,1,11.068025838577363
27,up,1,316,19.371806586754467
28,tea,1,28,15.875380760634966
29,most,1,97,17.66793868076449
30,passed,1,51,16.74045118054886
31,her,1,1622,21.731583942794636
32,gown,1,19,15.31595335202095
33,she,2,1267,20.375226647718172
34,paper,1,25,15.711882028352086
