,context_word,collocate_count,total_count,MI-score
0,cart,1,1,10.81019672094971
1,been,1,172,18.236461475651808
2,rendered,1,4,12.81019672094971
3,a,3,1355,19.62931135646979
4,without,1,51,16.482622062921205
5,for,1,343,19.232261487122525
6,be,1,261,18.838102717519593
7,but,1,328,19.167748725567794
8,what,1,208,18.510636439090803
9,to,1,1337,21.194980471043063
10,might,1,65,16.832564533978164
11,here,1,59,16.69283977031155
12,have,1,213,18.544906341175547
13,in,1,869,20.57340908776411
14,they,1,174,18.25314021679844
15,stopped,1,9,13.98012172239202
16,front,1,44,16.26962833958701
17,chose,1,6,13.395159221670866
18,cared,1,2,11.81019672094971
19,he,3,1259,19.52329678794757
20,superfluous,1,1,10.81019672094971
21,was,1,903,20.628778898430568
22,has,1,32,15.810196720949712
