,context_word,collocate_count,total_count,MI-score
0,has,1,32,15.810196720949712
1,to,1,1337,21.194980471043063
2,was,1,903,20.628778898430568
3,for,1,343,19.232261487122525
4,in,1,869,20.57340908776411
5,stopped,1,9,13.98012172239202
6,here,1,59,16.69283977031155
7,without,1,51,16.482622062921205
8,chose,1,6,13.395159221670866
9,a,3,1355,19.62931135646979
10,been,1,172,18.236461475651808
11,rendered,1,4,12.81019672094971
12,might,1,65,16.832564533978164
13,have,1,213,18.544906341175547
14,but,1,328,19.167748725567794
15,he,3,1259,19.52329678794757
16,front,1,44,16.26962833958701
17,what,1,208,18.510636439090803
18,cared,1,2,11.81019672094971
19,they,1,174,18.25314021679844
20,cart,1,1,10.81019672094971
21,superfluous,1,1,10.81019672094971
22,be,1,261,18.838102717519593
