,Name,Degree,Betweenness centrality,Eigenvector centrality
0,1Keeper,24,0.3388493568885726,0.029734586135465448
1,1Messenger,12,0.061665934709412965,0.08186196574015815
2,1Post,20,0.18252929966058692,0.02817645501102745
3,1Watchman,8,0.014725009526799813,0.03855184427864096
4,2Keeper,19,0.1460340975686244,0.029734586135465448
5,2Messenger,4,0.0,0.032604552253405986
6,2Post,18,0.22099938598233573,0.05041554687719557
7,2Watchman,8,0.00288599563109367,0.05503073501991967
8,3Messenger,13,0.13547244552359644,0.023043403783068267
9,3Post,4,0.0,0.032604552253405986
10,3Watchman,5,0.001054018445322793,0.008729030556914938
11,4Messenger,14,0.03431195079745804,0.032604552253405986
12,5Messenger,11,0.03532567941988232,0.032604552253405986
13,6Messenger,3,0.0,0.04219418069975015
14,Clarence,1,0.0,0.23329362675198756
15,Clifford,1,0.0,0.24704763965078033
16,Exeter,1,0.0,0.13758607530927788
17,Father,1,0.0,0.029734586135465448
18,Gloucester,1,0.0,0.3335579465515725
19,Hastings,11,0.05051986495081123,0.11481059610009772
20,Huntsman,2,0.0,0.05976782942302138
21,KingEdward,2,0.0,0.30720388129784004
22,KingHenry,2,0.0,0.28905062279712046
23,KingLewis,2,0.0,0.09143031779987634
24,LadyBona,4,0.043478260869565216,0.06840407699422503
25,LadyGrey,1,0.0,0.08224411170310987
26,Lieutenant,5,0.009685990338164249,0.02696113251913504
27,Mayor,10,0.05310645071514637,0.0778865893196853
28,Montague,3,0.0,0.1813674764312974
29,Montgomery,2,0.00024154589371980676,0.07943253981728372
30,Nobleman,8,0.018840961066025008,0.028654854335547812
31,Norfolk,7,0.028462330035220064,0.10272896056789083
32,Northumberland,2,0.0,0.1950355795934128
33,Oxford,3,0.017286548347929424,0.21064782653219488
34,PrinceEdward,4,0.025708620734196178,0.2417130060852391
35,QueenMargaret,2,0.0,0.29237568927227015
36,Rivers,1,0.0,0.00767151107444188
37,Rutland,2,0.0,0.023043403783068267
38,SirJohn,1,0.0,0.022094136317484483
39,Soldier,1,0.0,0.01811875989701164
40,Somerset,4,0.0,0.19314699208811584
41,Somerville,5,0.01553122874094741,0.061259406588606076
42,Son,2,0.0,0.029734586135465448
43,Tutor,1,0.0,0.023043403783068267
44,Warwick,1,0.0,0.34955203198822876
45,Westmorland,2,0.0,0.1008009805852886
46,York,2,0.0,0.23686971593833564
