,Name,Degree,Betweenness centrality,Eigenvector centrality
0,1Herald,5,0.05630630630630631,0.029028750900137547
1,1Lady,16,0.35162305162305163,0.02345648888427482
2,1Man,19,0.2632167882167882,0.003142743878950773
3,1Servant,3,0.0,0.014424593507245382
4,2Herald,1,0.0,0.029028750900137547
5,2Lady,13,0.13448090948090946,0.02345648888427482
6,2Man,7,0.10833333333333334,0.003142743878950773
7,2Servant,2,0.0,0.014424593507245382
8,Abbot,2,0.0,0.12333577191556275
9,Aumerle,5,0.00972043472043472,0.3105827482031678
10,Bagot,6,0.011472186472186473,0.14823263109571527
11,Berkeley,10,0.10898040898040898,0.09079793680755675
12,Bolingbroke,8,0.25237737737737737,0.44489696516298366
13,Bushy,9,0.06329901329901332,0.21160141317273165
14,Carlisle,3,0.0,0.19704099679014608
15,DuchessGlouc,4,0.001001001001001001,0.022547040620750306
16,DuchessOfYork,1,0.0,0.13609743546091946
17,Exton,4,0.0015515515515515514,0.11140017175423954
18,Fitzwater,3,0.0005505505505505505,0.10478622245525761
19,Gardener,2,0.0,0.024270441803174503
20,Gaunt,3,0.05405405405405406,0.17412930383643616
21,Green,1,0.0,0.1777140442681299
22,Groom,5,0.004804804804804805,0.05750375289938972
23,Keeper,2,0.0,0.05750375289938972
24,KingRichard,1,0.0,0.3865927690428731
25,Marshal,1,0.0,0.19515768297677433
26,Mowbray,3,0.1066066066066066,0.13293456291572509
27,Northumberland,1,0.0,0.2563348125842542
28,Percy,1,0.0,0.1310133009653847
29,Queen,3,0.006156156156156155,0.18115193659006587
30,Ross,2,0.0,0.10934392195175999
31,Salisbury,3,0.0,0.09181253559747733
32,Scroop,3,0.0,0.09027316663686816
33,Servingman,1,0.0,0.038275232665184074
34,Surrey,4,0.1066066066066066,0.05378340287495748
35,WelshCaptain,1,0.0,0.011888323484818303
36,Willoughby,2,0.0,0.14323129085636174
37,York,2,0.0,0.29559814007614604
