,Name,Degree,Betweenness centrality,Eigenvector centrality
0,1Carrier,9,0.04867583396995162,0.031666919558004485
1,1Messenger,3,0.0,0.08507931439315834
2,1Traveler,12,0.1830404889228418,0.13678407540640622
3,2Carrier,16,0.3959129106187931,0.03111792234995371
4,2Messenger,4,0.0029708853238265,0.047843110997548975
5,2Traveler,9,0.05461336049571343,0.13678407540640622
6,3Carrier,3,0.0,0.06881702641680776
7,3Messenger,15,0.3566972243442831,0.047843110997548975
8,Archbishop,4,0.0,6.643325333751816e-10
9,Bardolph,3,0.0552584670231729,0.2181209352406233
10,Blunt,1,0.0,0.1606444526312756
11,Chamberlain,2,0.0,0.02666498914593124
12,Douglas,8,0.2107843137254902,0.2269160607038087
13,Falstaff,1,0.0,0.35952998867150393
14,Francis,7,0.011734997029114675,0.08046834649305053
15,Gadshill,6,0.007575757575757575,0.1896347665907405
16,Glendower,4,0.0017825311942959,0.06101236894181176
17,Hostess,4,0.0017825311942959,0.14036462462735363
18,Hotspur,1,0.0,0.34025489624050026
19,King,1,0.0,0.310495915497257
20,LadyPercy,2,0.0,0.047843110997548975
21,Lancaster,1,0.0,0.153353083449317
22,Mortimer,3,0.0,0.09365826184511213
23,Northumberland,2,0.0,0.12873795585234415
24,Ostler,2,0.0,0.00445293320406302
25,Peto,3,0.00089126559714795,0.20549659848748975
26,Poins,2,0.0,0.15167921726082517
27,Prince,6,0.014090484678719975,0.42060160105125677
28,Servant,2,0.0,0.047843110997548975
29,Sheriff,3,0.0,0.06881702641680776
30,SirMichael,1,0.0,6.643325333751816e-10
31,Vernon,1,0.0,0.11698581117208981
32,Vintner,1,0.0,0.05914073253876224
33,Westmorland,1,0.0,0.153353083449317
34,Worcester,3,0.0,0.2648203148369441
