,Name,Degree,Betweenness centrality,Eigenvector centrality
0,1Messenger,10,0.07853489033940167,0.041921529709697335
1,1Servingman,18,0.2236808610808953,0.0854434513323163
2,1Warder,10,0.0365510679796394,0.04377699817000195
3,2Messenger,11,0.06089811309864283,0.041921529709697335
4,2Servingman,2,0.0,0.05245788900873124
5,2Warder,2,0.0,0.009308547667043154
6,3Messenger,3,0.0005328005328005328,0.0670145345861463
7,3Servingman,8,0.036044929571074476,0.07968187415400167
8,4Messenger,11,0.0449003171773165,0.027419187363573915
9,5Messenger,8,0.03578251194578945,0.042931031776371954
10,6Messenger,5,0.0006368631368631368,0.0363401083516568
11,Alencon,15,0.16405616133316062,0.16540495573852304
12,Basset,2,0.0,0.11997087097849159
13,Bastard,6,0.03747399786360825,0.09710658866939324
14,Bedford,1,0.0,0.17103092196526165
15,Boy,1,0.0,0.003476322696212134
16,Burgundy,2,0.0,0.10989570741487123
17,Captain,4,0.0,0.08132861317270661
18,Charles,2,0.03571428571428571,0.21445380799855504
19,Countess,1,0.0,0.03248203725804575
20,EnglishSoldier,3,0.07012987012987013,0.02522216484720073
21,Exeter,21,0.4468995778372914,0.21376235213666905
22,Falstaff,3,0.000974025974025974,0.07074809778100478
23,FrenchSoldier,2,0.0,0.02830607814527802
24,Gargrave,1,0.0,0.03424803599201073
25,General,3,0.03571428571428571,0.027419187363573915
26,Glansdale,1,0.0,0.0311504595032766
27,Gloucester,6,0.009015050843058358,0.31638454904896285
28,Gunner,1,0.0,0.0003787462074780092
29,John,3,0.0008658008658008658,0.027419187363573915
30,Keeper,4,0.004012237762237762,0.0040066299237424335
31,King,3,0.03571428571428571,0.282673610028375
32,Lawyer,1,0.0,0.08227506143936822
33,Legate,17,0.16660334695493614,0.025093004876448964
34,Lucy,9,0.021132678316974282,0.11249489928909219
35,Margaret,11,0.02527653623432844,0.04295490606377834
36,Mayor,12,0.04691955752533332,0.12054716517230075
37,Mortimer,7,0.026286440831895377,0.036776609386147484
38,Plantagenet,3,0.0,0.3335628939239623
39,Porter,1,0.0,0.0035388714463796362
40,Pucelle,2,0.03571428571428571,0.2315076119292242
41,Reignier,12,0.06563296822225394,0.1700535175558938
42,Salisbury,3,0.0,0.031529205710754606
43,Scout,4,0.003559161702958695,0.048586348475630196
44,Sentinel,2,0.0,0.04598545155319207
45,Sergeant,2,0.0,0.005010033600338808
46,Servant,3,0.0012788600288600289,0.027419187363573915
47,Servingmen,4,0.0005331609227713123,0.05956145537940776
48,Shepherd,1,0.0,0.09175218149378074
49,Somerset,1,0.0,0.25304991004561034
50,Suffolk,4,0.0015284715284715283,0.22422410452677274
51,Talbot,1,0.0,0.25167418226948407
52,Vernon,1,0.0,0.1685851964837269
53,Warwick,1,0.0,0.2771105139978925
54,Watch,2,0.0,0.02830607814527802
55,Winchester,2,0.0,0.23032786396506194
56,Woodville,3,0.0,0.03446845050295879
