,Name,Degree,Betweenness centrality,Eigenvector centrality
0,1Gentleman,9,0.2264562834249246,0.017086565319741988
1,2Gentleman,11,0.15881797902703826,0.017086565319741988
2,3Gentleman,3,0.009290264516745358,0.004069563083851182
3,Abergavenny,15,0.22797055506114744,0.05305190189311667
4,Anne,1,0.0,0.06978260878314547
5,Boy,3,0.0005807200929152149,0.03200869158354773
6,Brandon,2,0.0,0.022944706010279488
7,Buckingham,11,0.21950067289788547,0.12232958324001253
8,Butts,17,0.24842945801133953,0.0757202390157645
9,Campeius,7,0.016333443946684362,0.10928035700391922
10,Capuchius,15,0.2428612908578065,0.022917184073630456
11,Chamberlain,4,0.005897074276865217,0.3502366655197944
12,Chancellor,8,0.07917066802084223,0.11313695297675393
13,Cranmer,1,0.0,0.2635463871234432
14,Crier,3,0.00038714672861014324,0.0835296728708571
15,Cromwell,2,0.0,0.1963467778990605
16,Denny,3,0.023228803716608595,0.04433768358597802
17,Gardiner,3,0.023228803716608595,0.26880461475119455
18,Garter,2,0.0,0.03138255542978653
19,Gentlewoman,7,0.001718194052688826,0.022917184073630456
20,Griffith,3,0.0,0.040359582425557095
21,Guildford,10,0.06869927078986313,0.04170553988351875
22,Katharine,4,0.006747414412919638,0.1924507591089214
23,Keeper,3,0.0025390372951348563,0.11261574867123098
24,KingHenry,4,0.010627177700348432,0.3723391034823273
25,Lincoln,4,0.0017421602787456446,0.04433768358597802
26,Lovell,1,0.0,0.20739713125883824
27,Man,1,0.0,0.005824984581495678
28,Messenger,6,0.008055082096893944,0.0314712267702887
29,Norfolk,2,0.0,0.300241533764166
30,OldLady,3,0.0,0.1190493667200249
31,One,3,0.0,0.005824984581495678
32,Patience,1,0.0,0.0314712267702887
33,Porter,1,0.0,0.043092763841176523
34,Sandys,1,0.0,0.11673717247835774
35,Scribe,10,0.06728057076489131,0.0963099851140092
36,Secretary,4,0.0028820224813256175,0.04202548934431087
37,Sergeant,2,0.0,0.017299478821558818
38,Servant,4,0.002608170639529524,0.08373102922782956
39,Suffolk,2,0.0,0.2568276923594575
40,Surrey,3,0.09291521486643438,0.24870347899490045
41,Vaux,2,0.0,0.03926369702638131
42,Wolsey,1,0.0,0.35292116606747087
