,Name,Degree,Betweenness centrality,Eigenvector centrality
0,1Citizen,5,0.015409798534798555,2.4484629103079295e-09
1,1Gentleman,33,0.5298028013653017,0.042630273235291595
2,1Lord,8,0.03926053113553113,0.05051485227218203
3,1Messenger,17,0.09463120213120214,0.05886112255800946
4,1Murderer,7,0.03020604395604395,0.0653817366903586
5,2Citizen,1,0.0,2.4484629103079295e-09
6,2Gentleman,1,0.0,0.015817724158540394
7,2Lord,5,0.016235119047619047,0.05051485227218203
8,2Messenger,9,0.0026957417582417586,0.02988752733460973
9,2Murderer,18,0.09208988927738929,0.026637034094099756
10,3Citizen,19,0.10444617882117885,2.4484629103079295e-09
11,3Messenger,12,0.12658508158508155,0.02410674614545697
12,4Messenger,7,0.0008238636363636362,0.007243018305312829
13,5Messenger,9,0.003748543123543123,0.0481158880248601
14,6Messenger,5,0.0008653846153846153,0.04745569383858906
15,7Messenger,4,0.006227106227106222,0.042630273235291595
16,Anne,2,0.0,0.1577255220613516
17,Archbishop,3,0.0,0.05886112255800946
18,Blunt,7,0.0004945054945054946,0.00804648145887432
19,Boy,3,0.0,0.05886112255800946
20,Brakenbury,11,0.039220467032967034,0.133008479819273
21,Buckingham,3,0.0,0.3207100746034498
22,Cardinal,2,0.0,0.062049904804473546
23,Catesby,2,0.0,0.1491883333516818
24,Christopher,2,0.0,0.023380337470980547
25,Citizens,3,0.0,0.03216237746986433
26,Clarence,5,0.0013293997668997672,0.06721205034472183
27,Daughter,3,0.0,0.05886112255800946
28,Dorset,5,0.0009375,0.2376345825493781
29,Duchess,3,0.0,0.19705119828606127
30,Ely,2,0.0,0.12806051551074465
31,GhostAnne,1,0.0,0.005252902797856634
32,GhostBuckingham,2,0.0,0.04315715163281369
33,GhostClarence,3,0.0011939102564102564,0.00010087646356796325
34,GhostEdward,2,0.00016025641025641026,0.008595728661709894
35,GhostGrey,5,0.012707188644688646,0.0001224699201820567
36,GhostHastings,4,0.0,0.000962923681483862
37,GhostHenryVI,2,0.0,0.0008723468436689819
38,GhostRivers,1,0.0,0.00013170157141888426
39,GhostVaughan,1,0.0,0.0001224699201820567
40,GhostsYork,2,0.0,0.0006236107053716748
41,Grey,2,0.008453525641025642,0.13330215174318963
42,Hastings,2,0.0007211538461538462,0.29802655841290454
43,Herbert,3,0.02063301282051282,0.0016140432962313362
44,Keeper,2,0.0,0.020079902343433056
45,KingEdward,1,0.0,0.20792620097354703
46,Lovell,1,0.0,0.07251780056990081
47,Mayor,2,0.014423076923076924,0.08758482023179354
48,Norfolk,7,0.25472756410256414,0.042630273235291595
49,Oxford,2,0.0002403846153846154,0.00804648145887432
50,Page,2,0.014423076923076924,0.042630273235291595
51,Priest,1,0.0,0.06570792211604665
52,PrinceEdward,1,0.0,0.12755805920993296
53,Pursuivant,4,0.16482371794871795,0.036476936434994195
54,QueenElizabeth,2,0.026923076923076925,0.331023924411313
55,QueenMargaret,2,0.0009615384615384616,0.2043072618388005
56,Ratcliffe,4,0.002403846153846154,0.1127917982588087
57,Richard,3,0.0,0.42508509380201226
58,Richmond,3,0.0,0.07861889457404662
59,Rivers,5,0.08541666666666667,0.2277284617447929
60,Sheriff,2,0.0019230769230769232,0.03216237746986433
61,Stanley,3,0.028044871794871796,0.23313667970415577
62,Surrey,2,0.04431089743589744,0.042630273235291595
63,Tyrrel,2,0.0,0.07479265070515541
64,Vaughan,2,0.0,0.024679518269528227
65,York,1,0.0,0.1405430537701087
