,Text ID,Title,Negative,Neutral,Positive,Geopolitical Entities
0,3608,Kerry to go to Paris in gesture of sympathy,0.0,0.762,0.238,Paris
2,95,‘Britain’s Schindler’ Dies at 106,0.0,1.0,0.0,Britain
4,2909,Iran reportedly makes new push for uranium concessions in nuclear talks,0.0,1.0,0.0,Iran
5,1357,"With all three Clintons in Iowa, a glimpse at the fire that has eluded Hillary Clinton’s campaign",0.13,0.87,0.0,Iowa
9,3304,What's in that Iran bill that Obama doesn't like?,0.209,0.791,0.0,Iran
10,3078,The 1 chart that explains everything you need to know about partisanship in America,0.0,1.0,0.0,America
15,755,Sanders Trounces Clinton in W. Va. -- But Will It Make a Difference?,0.0,1.0,0.0,W Va
22,2777,Obama makes the right call to tough it out in Afghanistan,0.13,0.87,0.0,Afghanistan
35,3648,FBI checking if Orlando shooter's wife knew attack plan but didn't warn police,0.141,0.759,0.1,Orlando
38,1178,Bernie Sanders lost poor voters in South Carolina by a big margin — a problem for his political revolution,0.336,0.664,0.0,South Carolina
43,917,Five Reasons the New York Democratic Primary Felt Competitive,0.0,0.825,0.175,New York
49,143,Obama’s speech in Selma was an answer to those who question his love for America,0.0,0.769,0.231,Selma; America
56,2832,"Obama, sounding like his critics, admits no 'complete strategy' for Iraq",0.273,0.435,0.292,Iraq
63,3512,Brothers ID'd as suicide bombers in Belgium,0.429,0.571,0.0,Belgium
64,2546,Don't blame all immigrants for San Francisco shooting,0.0,0.775,0.225,San Francisco
65,2596,Netanyahu: I Won't Allow Israel to Be 'Submerged' by Refugees,0.156,0.844,0.0,Israel
67,2232,Obama's terror strategy is failing: US must heed lessons of 9/11,0.427,0.573,0.0,US
72,2199,McCain: Trump doesn't understand Syria,0.0,1.0,0.0,Syria
73,4943,Trump manager says 'undercover voters' will deliver win in US election,0.0,0.725,0.275,US
77,3004,Is the Iran deal unraveling? Think again. | Institution,0.0,1.0,0.0,Iran
80,2802,Obama Inches Closer to Veto-Proof Support for Iran Nuclear Deal,0.0,0.769,0.231,Iran
84,3138,Christianity under attack: US must do more to promote religious freedom,0.171,0.44,0.389,US
86,2850,Iran agrees to nuclear restrictions in framework deal with world powers,0.0,0.847,0.153,Iran
89,3700,Sunday in Charleston: Worship at Emanuel AME,0.0,0.732,0.268,Charleston
91,2305,Connecticut Becomes First State To Boycott Indiana Over LGBT Discrimination Law,0.187,0.813,0.0,Connecticut; Indiana
93,3008,Iran carries out new ballistic missile test,0.0,1.0,0.0,Iran
100,599,Election Day: No Legal Pot In Ohio; Democrats Lose In The South,0.289,0.711,0.0,Ohio
107,2834,Iraq launches operation against ISIS in Anbar province,0.0,1.0,0.0,Iraq; Anbar
111,4618,2006 Audio Emerges of Hillary Clinton Proposing Rigging Palestine Election,0.0,1.0,0.0,Palestine
114,4492,'Spinning up as we speak': Email shows Pentagon was ready to roll as Benghazi attack occurred,0.158,0.714,0.128,Benghazi
122,4865,"Trump says Obama born in US, ‘period’ – after new ‘birther’ dust-up",0.0,1.0,0.0,US
124,2586,Israel stole classified US information and used it to help congressional Republicans,0.0,0.803,0.197,Israel; US
125,4045,"""America has a simple ideology"": how one of Russia's top US experts explains America",0.0,0.878,0.122,America; Russia; US; America
130,4929,Trump mulls alternative options for making Mexico finance 'the wall',0.0,1.0,0.0,Mexico
132,3382,Kerry Adviser Marie Harf in Twitter Fight Over Iran Nukes,0.224,0.776,0.0,Iran
135,2812,"'You've been fleeced': Congress grills Kerry, Obama officials on Iran nuke deal",0.0,1.0,0.0,Iran
143,1109,Clinton condemns Trump over Chicago violence,0.649,0.351,0.0,Chicago
144,3592,"In France, a growing debate over why some speech is protected and some isn’t",0.0,0.723,0.277,France
148,4051,Obama Presses Putin to Strike Ukraine Peace Deal,0.136,0.545,0.318,Ukraine
151,3326,State Department warns of possible terror attack in South Africa,0.53,0.47,0.0,South Africa
152,2968,Who Lost Iraq?,0.535,0.465,0.0,Iraq
154,1284,"Poll: Trump gains in Iowa, still dominates in New Hampshire",0.0,0.69,0.31,Iowa; New Hampshire
163,2840,Iran: Why the best outcome now is to keep negotiating without reaching a deal,0.089,0.674,0.236,Iran
169,4107,"Our real police/race problem: Diverse forces, white resentment, and America’s persistent divides",0.359,0.641,0.0,America
182,4053,How the Clintons’ Haiti development plans succeed — and disappoint,0.194,0.576,0.23,Haiti
187,3146,Vatican Ends Scrutiny Of U.S. Nuns,0.0,1.0,0.0,US
193,3851,Senate Makes History By Confirming Loretta Lynch As U.S. Attorney General,0.0,1.0,0.0,US
194,334,Manhunt for escaped killers expands to Vermont,0.402,0.467,0.131,Vermont
195,3767,Protester charged with shooting officers in Ferguson,0.231,0.769,0.0,Ferguson
200,1376,Paris Tragedy Could Shake Up 2016 Race,0.55,0.45,0.0,Paris
201,1510,2016's first GOP debate: Six things to look for in Charleston,0.0,1.0,0.0,Charleston
202,356,Black Hawk crashes off Florida; human remains found,0.0,1.0,0.0,Florida
