,Context words,Collocate count,Total count,MI score,Negative,Neutral,Positive
3087,unto,2696,10105,7.6659549720207085,0.0,1.0,0.0
4641,god,2134,4949,6.973354917978048,0.0,0.0,1.0
4734,shall,2120,10939,8.127122740733235,0.0,1.0,0.0
1043,lord,1965,8749,7.9143668675409105,0.0,1.0,0.0
1884,said,1238,4402,7.589925882612763,0.0,1.0,0.0
280,saith,1113,1304,5.988268328824589,0.0,1.0,0.0
2326,thy,1076,5349,8.073369177724997,0.0,1.0,0.0
251,ye,1052,4279,7.783917026266656,0.0,1.0,0.0
4169,thou,1041,6410,8.382132340142157,0.0,1.0,0.0
4543,israel,905,2812,7.395384949037438,0.0,1.0,0.0
2540,thee,891,4364,8.051931816737154,0.0,1.0,0.0
2681,hath,855,2629,7.380295868780256,0.0,1.0,0.0
3695,house,690,2164,7.408810284096754,0.0,1.0,0.0
1917,thus,610,816,6.179537961456717,0.0,1.0,0.0
1939,upon,609,3339,8.214680012092252,0.0,1.0,0.0
4607,people,542,2516,7.9745452174608875,0.0,1.0,0.0
73,saying,535,1526,7.271922217481491,0.0,1.0,0.0
247,king,525,3016,8.282025152650649,0.0,1.0,0.0
4184,moses,518,878,6.521046893784274,0.0,1.0,0.0
2893,day,474,1979,7.821590700084724,0.0,1.0,0.0
3607,came,462,2403,8.138649943649279,0.0,1.0,0.0
2170,word,456,763,6.502427284605258,0.0,1.0,0.0
4904,therefore,404,1490,7.642663184533199,0.0,1.0,0.0
2046,behold,378,1434,7.683364936416302,0.0,1.0,0.0
1019,hand,375,1601,7.853788859068484,0.0,0.0,1.0
3997,us,372,1830,8.058247173998843,0.0,1.0,0.0
3744,man,366,3218,8.896026824374873,0.0,1.0,0.0
4354,land,365,1877,8.122238332998965,0.0,1.0,0.0
3789,come,357,2246,8.41314000030697,0.0,1.0,0.0
4107,made,353,1758,8.075973033807694,0.0,1.0,0.0
3814,name,349,1066,7.3706865484849935,0.0,1.0,0.0
4335,children,347,2047,8.32028158638062,0.0,1.0,0.0
1768,let,334,1725,8.128454406014312,0.0,1.0,0.0
2397,hosts,331,303,5.632264628601203,0.0,1.0,0.0
4601,go,320,1694,8.164068116380307,0.0,1.0,0.0
3073,david,311,1162,7.661401635209397,0.0,1.0,0.0
3033,spake,286,629,6.89682292203637,0.0,1.0,0.0
4103,say,285,1127,7.7432317430555875,0.0,1.0,0.0
3063,also,283,2124,8.667687859907742,0.0,1.0,0.0
2338,even,280,1537,8.216396484681274,0.0,1.0,0.0
490,shalt,279,1759,8.416196507578244,0.0,1.0,0.0
5003,commanded,243,542,6.91711458968356,0.0,1.0,0.0
4968,know,240,844,7.573986645034136,0.0,1.0,0.0
394,heart,237,1001,7.8382610618732045,0.0,0.0,1.0
1655,one,236,2287,9.036375652985301,0.0,1.0,0.0
2277,offering,229,742,7.455849640459329,0.0,1.0,0.0
2991,son,229,2673,9.304818386081605,0.0,1.0,0.0
1370,according,229,920,7.766064314782902,0.0,1.0,0.0
482,great,228,1325,8.298664682108653,0.0,0.0,1.0
