,Context words,Collocate count,Total count,MI score,Negative,Neutral,Positive
770,thy,289,509,7.331051450829782,0.0,1.0,0.0
1712,allah,207,3046,10.393668556242732,0.0,1.0,0.0
270,ye,169,2014,10.089423818979366,0.0,1.0,0.0
1844,lord,167,976,9.0614883323436,0.0,1.0,0.0
211,say,146,776,8.924543570561875,0.0,1.0,0.0
91,said,144,711,8.818236035431868,0.0,1.0,0.0
932,thou,107,772,9.365445338121699,0.0,1.0,0.0
66,us,105,472,8.682852818950485,0.0,1.0,0.0
41,verily,77,311,8.528439516690467,0.0,1.0,0.0
1797,thee,66,615,9.734503768122915,0.0,1.0,0.0
994,shall,65,659,9.856222129234363,0.0,1.0,0.0
1197,believe,62,470,9.43677592343289,0.0,1.0,0.0
1598,one,61,530,9.633566499142441,0.0,1.0,0.0
253,fear,57,274,8.77959735605055,1.0,0.0,0.0
1199,people,56,515,9.715528987267742,0.0,1.0,0.0
1721,indeed,55,320,9.055023668617467,0.0,1.0,0.0
1126,mercy,48,164,8.287044791151693,0.0,0.0,1.0
846,day,47,520,9.982234248605582,0.0,1.0,0.0
811,hath,47,300,9.18868512607301,0.0,1.0,0.0
454,truth,46,321,9.317322818320056,0.0,0.0,1.0
1803,come,45,249,8.982604122993171,0.0,1.0,0.0
920,deny,44,75,7.283842359113349,1.0,0.0,0.0
132,worlds,43,46,6.61175248860968,0.0,1.0,0.0
542,sent,43,325,9.432486440468484,0.0,1.0,0.0
1594,earth,40,419,9.903333626066754,0.0,1.0,0.0
48,signs,39,338,9.6299325046747,0.0,1.0,0.0
964,would,39,289,9.403978750893195,0.0,1.0,0.0
1305,behold,37,193,8.897458958893896,0.0,1.0,0.0
726,things,37,379,9.871055959796907,0.0,1.0,0.0
1896,moses,37,176,8.764433540263113,0.0,1.0,0.0
1122,favours,36,55,7.125889999337112,0.0,0.0,1.0
456,good,34,278,9.545933518727933,0.0,0.0,1.0
126,sign,33,94,8.024650019573949,0.0,1.0,0.0
285,penalty,33,229,9.309264955993257,1.0,0.0,0.0
657,forgiveness,32,77,7.781241827949667,0.0,0.0,1.0
292,unto,31,181,9.060104863951095,0.0,1.0,0.0
1062,cherisher,31,36,6.730183978310203,0.0,0.0,1.0
789,may,30,350,10.058775803478577,0.0,1.0,0.0
14,men,30,380,10.177420299977195,0.0,1.0,0.0
328,heavens,29,200,9.300330481901918,0.0,0.0,1.0
1133,wrong,29,206,9.342974819310411,1.0,0.0,0.0
799,best,28,154,8.973886905892064,0.0,0.0,1.0
548,man,28,211,9.428199553904346,0.0,1.0,0.0
1045,give,27,246,9.702082290430537,0.0,1.0,0.0
169,turn,27,207,9.453054742590622,0.0,1.0,0.0
353,worship,26,141,8.953566921512467,0.0,0.0,1.0
561,make,26,195,9.421345882863283,0.0,1.0,0.0
1737,truly,26,170,9.223406505251376,0.0,0.0,1.0
655,call,26,148,9.023468934742624,0.0,1.0,0.0
471,therein,26,208,9.514455287254766,0.0,1.0,0.0
1525,glory,25,74,8.08005246310899,0.0,0.0,1.0
472,reward,25,158,9.174379845657144,0.0,0.0,1.0
195,exalted,24,96,8.514455287254764,0.0,1.0,0.0
1288,among,24,312,10.214895005395856,0.0,1.0,0.0
1873,two,24,123,8.87200729187285,0.0,1.0,0.0
609,merciful,23,118,8.873536380559594,0.0,1.0,0.0
1309,back,23,195,9.598223644947364,0.0,1.0,0.0
346,faith,23,257,9.99651788039163,0.0,0.0,1.0
104,evil,22,268,10.12111285907524,1.0,0.0,0.0
675,judgment,21,139,9.241078937199513,0.0,1.0,0.0
419,created,21,153,9.379525707168657,0.0,0.0,1.0
100,full,21,152,9.370065377919591,0.0,1.0,0.0
1023,doth,21,160,9.444065959363366,0.0,1.0,0.0
1061,see,20,239,10.093394000348152,0.0,1.0,0.0
632,fire,20,213,9.927236812593241,1.0,0.0,0.0
1838,know,20,225,10.00630838358444,0.0,1.0,0.0
1172,guidance,20,132,9.236921311725856,0.0,1.0,0.0
364,none,19,107,9.007994760212327,0.0,1.0,0.0
1682,leave,19,115,9.112017824755554,1.0,0.0,0.0
1530,hearts,19,159,9.579410729095535,0.0,0.0,1.0
1825,oft,19,102,8.938953115782676,0.0,1.0,0.0
929,nay,19,129,9.277755029234434,0.0,1.0,0.0
1059,prayer,19,93,8.805686584919211,0.0,1.0,0.0
1121,made,19,288,10.436452775253493,0.0,1.0,0.0
1541,might,18,99,8.973886905892064,0.0,1.0,0.0
883,away,18,187,9.891424745700089,0.0,1.0,0.0
