,Text,Negative,Neutral,Positive,Subjectivity,Polarity
0,"in the name of allah, most gracious, most merciful.",0.0,0.673,0.327,0.5,0.5
1,"praise be to allah, the cherisher and sustainer of the worlds;",0.0,0.57,0.43,0.0,0.0
2,"most gracious, most merciful;",0.0,0.435,0.565,0.5,0.5
3,master of the day of judgment.,0.0,1.0,0.0,0.0,0.0
4,"thee do we worship, and thine aid we seek.",0.0,0.784,0.216,0.0,0.0
5,"show us the straight way,",0.0,0.678,0.322,0.4,0.2
6,"the way of those on whom thou hast bestowed thy grace, those whose (portion) is not wrath, and who go not astray.",0.0,0.882,0.118,0.0,0.0
7,a. l. m.,0.0,1.0,0.0,0.0,0.0
8,"this is the book; in it is guidance sure, without doubt, to those who fear allah;",0.155,0.631,0.214,0.8888888888888888,0.5
9,"who believe in the unseen, are steadfast in prayer, and spend out of what we have provided for them;",0.0,0.9,0.1,0.8,0.4
10,"and who believe in the revelation sent to thee, and sent before thy time, and (in their hearts) have the assurance of the hereafter.",0.0,0.767,0.233,0.0,0.0
11,"they are on (true) guidance, from their lord, and it is these who will prosper.",0.0,0.833,0.167,0.65,0.35
12,"as to those who reject faith, it is the same to them whether thou warn them or do not warn them; they will not believe.",0.14,0.719,0.14,0.125,0.0
13,"allah hath set a seal on their hearts and on their hearing, and on their eyes is a veil; great is the penalty they (incur).",0.09,0.659,0.251,0.75,0.8
14,"of the people there are some who say: ""we believe in allah and the last day;"" but they do not (really) believe.",0.0,1.0,0.0,0.13333333333333333,-0.05
15,"fain would they deceive allah and those who believe, but they only deceive themselves, and realise (it) not!",0.262,0.738,0.0,1.0,0.0
16,"in their hearts is a disease; and allah has increased their disease: and grievous is the penalty they (incur), because they are false (to themselves).",0.18,0.629,0.192,0.8,-0.6000000000000001
17,"when it is said to them: ""make not mischief on the earth,"" they say: ""why, we only want to make peace!""",0.0,0.714,0.286,1.0,0.0
18,"of a surety, they are the ones who make mischief, but they realise (it) not.",0.108,0.8,0.092,0.0,0.0
19,"when it is said to them: ""believe as the others believe:"" they say: ""shall we believe as the fools believe?"" nay, of a surety they are the fools, but they do not know.",0.118,0.84,0.042,0.0,0.0
20,"when they meet those who believe, they say: ""we believe;"" but when they are alone with their evil ones, they say: ""we are really with you: we (were) only jesting.""",0.235,0.765,0.0,0.7333333333333334,-0.26666666666666666
21,"allah will throw back their mockery on them, and give them rope in their trespasses; so they will wander like blind ones (to and fro).",0.169,0.746,0.085,0.3333333333333333,-0.25
22,"these are they who have bartered guidance for error: but their traffic is profitless, and they have lost true direction,",0.29,0.577,0.133,0.65,0.35
23,"their similitude is that of a man who kindled a fire; when it lighted all around him, allah took away their light and left them in utter darkness. so they could not see.",0.131,0.869,0.0,0.5666666666666667,0.13333333333333333
24,"deaf, dumb, and blind, they will not return (to the path).",0.4,0.6,0.0,0.5833333333333333,-0.4375
25,"or (another similitude) is that of a rain-laden cloud from the sky: in it are zones of darkness, and thunder and lightning: they press their fingers in their ears to keep out the stunning thunder-clap, the while they are in terror of death. but allah is ever round the rejecters of faith!",0.165,0.746,0.089,0.7,0.125
26,"the lightning all but snatches away their sight; every time the light (helps) them, they walk therein, and when the darkness grows on them, they stand still. and if allah willed, he could take away their faculty of hearing and seeing; for allah hath power over all things.",0.048,0.886,0.066,0.7,0.4
27,"o ye people! adore your guardian-lord, who created you and those who came before you, that ye may have the chance to learn righteousness;",0.0,0.727,0.273,0.0,0.0
28,"who has made the earth your couch, and the heavens your canopy; and sent down rain from the heavens; and brought forth therewith fruits for your sustenance; then set not up rivals unto allah when ye know (the truth).",0.0,0.824,0.176,0.2888888888888889,-0.15555555555555559
29,"and if ye are in doubt as to what we have revealed from time to time to our servant, then produce a sura like thereunto; and call your witnesses or helpers (if there are any) besides allah, if your (doubts) are true.",0.096,0.754,0.151,0.65,0.35
30,"but if ye cannot- and of a surety ye cannot- then fear the fire whose fuel is men and stones,- which is prepared for those who reject faith.",0.164,0.541,0.295,0.0,0.0
31,"but give glad tidings to those who believe and work righteousness, that their portion is gardens, beneath which rivers flow. every time they are fed with fruits therefrom, they say: ""why, this is what we were fed with before,"" for they are given things in similitude; and they have therein companions pure (and holy); and they abide therein (for ever).",0.0,0.937,0.063,0.75,0.35714285714285715
32,"allah disdains not to use the similitude of things, lowest as well as highest. those who believe know that it is truth from their lord; but those who reject faith say: ""what means allah by this similitude?"" by it he causes many to stray, and many he leads into the right path; but he causes not to stray, except those who forsake (the path),-",0.075,0.828,0.097,0.5119047619047619,0.42857142857142855
33,"those who break allah's covenant after it is ratified, and who sunder what allah has ordered to be joined, and do mischief on earth: these cause loss (only) to themselves.",0.144,0.808,0.048,1.0,0.0
34,"how can ye reject the faith in allah?- seeing that ye were without life, and he gave you life; then will he cause you to die, and will again bring you to life; and again to him will ye return.",0.142,0.797,0.06,0.0,0.0
35,"it is he who hath created for you all things that are on earth; moreover his design comprehended the heavens, for he gave order and perfection to the seven firmaments; and of all things he hath perfect knowledge.",0.0,0.738,0.262,1.0,1.0
36,"behold, thy lord said to the angels: ""i will create a vicegerent on earth."" they said: ""wilt thou place therein one who will make mischief therein and shed blood?- whilst we do celebrate thy praises and glorify thy holy (name)?"" he said: ""i know what ye know not.""",0.043,0.732,0.226,0.0,0.0
37,"and he taught adam the names of all things; then he placed them before the angels, and said: ""tell me the names of these if ye are right.""",0.0,1.0,0.0,0.5357142857142857,0.2857142857142857
38,"they said: ""glory to thee, of knowledge we have none, save what thou hast taught us: in truth it is thou who art perfect in knowledge and wisdom.""",0.068,0.597,0.335,1.0,1.0
39,"he said: ""o adam! tell them their names."" when he had told them, allah said: ""did i not tell you that i know the secrets of heaven and earth, and i know what ye reveal and what ye conceal?""",0.0,0.914,0.086,0.0,0.0
40,"and behold, we said to the angels: ""bow down to adam"" and they bowed down. not so iblis: he refused and was haughty: he was of those who reject faith.",0.148,0.772,0.08,0.2888888888888889,-0.15555555555555559
41,"we said: ""o adam! dwell thou and thy wife in the garden; and eat of the bountiful things therein as (where and when) ye will; but approach not this tree, or ye run into harm and transgression.""",0.122,0.848,0.03,0.0,0.0
42,"then did satan make them slip from the (garden), and get them out of the state (of felicity) in which they had been. we said: ""get ye down, all (ye people), with enmity between yourselves. on earth will be your dwelling-place and your means of livelihood - for a time.""",0.0,0.965,0.035,0.2888888888888889,-0.15555555555555559
43,"then learnt adam from his lord words of inspiration, and his lord turned towards him; for he is oft-returning, most merciful.",0.0,0.855,0.145,0.5,0.5
44,"we said: ""get ye down all from here; and if, as is sure, there comes to you guidance from me, whosoever follows my guidance, on them shall be no fear, nor shall they grieve.",0.0,0.813,0.187,0.5888888888888889,0.17222222222222222
45,"""but those who reject faith and belie our signs, they shall be companions of the fire; they shall abide therein.""",0.243,0.622,0.135,0.0,0.0
46,"o children of israel! call to mind the (special) favour which i bestowed upon you, and fulfil your covenant with me as i fulfil my covenant with you, and fear none but me.",0.058,0.829,0.113,0.5714285714285714,0.35714285714285715
47,"and believe in what i reveal, confirming the revelation which is with you, and be not the first to reject faith therein, nor sell my signs for a small price; and fear me, and me alone.",0.185,0.749,0.066,0.3666666666666667,0.0
48,"and cover not truth with falsehood, nor conceal the truth when ye know (what it is).",0.219,0.781,0.0,0.0,0.0
49,and be steadfast in prayer; practise regular charity; and bow down your heads with those who bow down (in worship).,0.0,0.708,0.292,0.3636752136752137,0.022222222222222213
50,"do ye enjoin right conduct on the people, and forget (to practise it) yourselves, and yet ye study the scripture? will ye not understand?",0.089,0.911,0.0,0.5357142857142857,0.2857142857142857
51,"nay, seek (allah's) help with patient perseverance and prayer: it is indeed hard, except to those who bring a lowly spirit,-",0.137,0.685,0.177,0.4208333333333333,-0.14583333333333334
52,"who bear in mind the certainty that they are to meet their lord, and that they are to return to him.",0.0,0.909,0.091,0.0,0.0
53,"children of israel! call to mind the (special) favour which i bestowed upon you, and that i preferred you to all other (for my message).",0.0,0.796,0.204,0.4732142857142857,0.11607142857142858
54,"then guard yourselves against a day when one soul shall not avail another nor shall intercession be accepted for her, nor shall compensation be taken from her, nor shall anyone be helped (from outside).",0.0,0.94,0.06,0.05,0.0
55,"and remember, we delivered you from the people of pharaoh: they set you hard tasks and punishments, slaughtered your sons and let your women-folk live; therein was a tremendous trial from your lord.",0.119,0.881,0.0,0.6805555555555555,0.05934343434343433
56,and remember we divided the sea for you and saved you and drowned pharaoh's people within your very sight.,0.165,0.717,0.118,0.2,0.05
57,"and remember we appointed forty nights for moses, and in his absence ye took the calf (for worship), and ye did grievous wrong.",0.216,0.707,0.078,0.6333333333333333,-0.4375
58,even then we did forgive you; there was a chance for you to be grateful.,0.0,0.628,0.372,0.0,0.0
59,and remember we gave moses the scripture and the criterion (between right and wrong): there was a chance for you to be guided aright.,0.114,0.812,0.074,0.7178571428571429,-0.10714285714285715
60,"and remember moses said to his people: ""o my people! ye have indeed wronged yourselves by your worship of the calf: so turn (in repentance) to your maker, and slay yourselves (the wrong-doers); that will be better for you in the sight of your maker."" then he turned towards you (in forgiveness): for he is oft-returning, most merciful.",0.045,0.839,0.116,0.5,0.5
61,"and remember ye said: ""o moses! we shall never believe in thee until we see allah manifestly,"" but ye were dazed with thunder and lighting even as ye looked on.",0.075,0.925,0.0,0.8,-0.5
62,then we raised you up after your death: ye had the chance to be grateful.,0.187,0.574,0.239,0.0,0.0
63,"and we gave you the shade of clouds and sent down to you manna and quails, saying: ""eat of the good things we have provided for you:"" (but they rebelled); to us they did no harm, but they harmed their own souls.",0.132,0.754,0.114,0.6296296296296297,0.3814814814814815
64,"and remember we said: ""enter this town, and eat of the plenty therein as ye wish; but enter the gate with humility, in posture and in words, and we shall forgive you your faults and increase (the portion of) those who do good.""",0.078,0.711,0.211,0.6000000000000001,0.7
65,"but the transgressors changed the word from that which had been given them; so we sent on the transgressors a plague from heaven, for that they infringed (our command) repeatedly.",0.0,0.867,0.133,0.0,0.0
66,"and remember moses prayed for water for his people; we said: ""strike the rock with thy staff."" then gushed forth therefrom twelve springs. each group knew its own place for water. so eat and drink of the sustenance provided by allah, and do no evil nor mischief on the (face of the) earth.",0.058,0.88,0.062,1.0,0.55
67,"and remember ye said: ""o moses! we cannot endure one kind of food (always); so beseech thy lord for us to produce for us of what the earth groweth, -its pot-herbs, and cucumbers, its garlic, lentils, and onions."" he said: ""will ye exchange the better for the worse? go ye down to any town, and ye shall find what ye want!"" they were covered with humiliation and misery; they drew on themselves the wrath of allah. this because they went on rejecting the signs of allah and slaying his messengers without just cause. this because they rebelled and went on transgressing.",0.141,0.823,0.037,0.5722222222222222,0.12638888888888888
68,"those who believe (in the qur'an), and those who follow the jewish (scriptures), and the christians and the sabians,- any who believe in allah and the last day, and work righteousness, shall have their reward with their lord; on them shall be no fear, nor shall they grieve.",0.0,0.841,0.159,0.03333333333333333,0.0
69,"and remember we took your covenant and we raised above you (the towering height) of mount (sinai): (saying): ""hold firmly to what we have given you and bring (ever) to remembrance what is therein: perchance ye may fear allah.""",0.078,0.922,0.0,0.5,-0.31666666666666665
70,"but ye turned back thereafter: had it not been for the grace and mercy of allah to you, ye had surely been among the lost.",0.085,0.604,0.311,0.4444444444444444,0.25
71,"and well ye knew those amongst you who transgressed in the matter of the sabbath: we said to them: ""be ye apes, despised and rejected.""",0.199,0.695,0.106,0.0,0.0
72,"so we made it an example to their own time and to their posterity, and a lesson to those who fear allah.",0.132,0.868,0.0,1.0,0.6
73,"and remember moses said to his people: ""allah commands that ye sacrifice a heifer."" they said: ""makest thou a laughing-stock of us?"" he said: ""allah save me from being an ignorant (fool)!""",0.141,0.773,0.085,0.0,0.0
74,"they said: ""beseech on our behalf thy lord to make plain to us what (heifer) it is!"" he said; ""he says: the heifer should be neither too old nor too young, but of middling age. now do what ye are commanded!""",0.0,1.0,0.0,0.3190476190476191,-0.014285714285714282
75,"they said: ""beseech on our behalf thy lord to make plain to us her colour."" he said: ""he says: a fawn-coloured heifer, pure and rich in tone, the admiration of beholders!""",0.0,0.797,0.203,0.5357142857142857,0.15625
76,"they said: ""beseech on our behalf thy lord to make plain to us what she is: to us are all heifers alike: we wish indeed for guidance, if allah wills.""",0.0,0.915,0.085,0.35714285714285715,-0.21428571428571427
77,"he said: ""he says: a heifer not trained to till the soil or water the fields; sound and without blemish."" they said: ""now hast thou brought the truth."" then they offered her in sacrifice, but not with good-will.",0.0,0.957,0.043,0.4,0.4
78,remember ye slew a man and fell into a dispute among yourselves as to the crime: but allah was to bring forth what ye did hide.,0.211,0.789,0.0,0.0,0.0
79,"so we said: ""strike the (body) with a piece of the (heifer)."" thus allah bringeth the dead to life and showeth you his signs: perchance ye may understand.",0.189,0.811,0.0,0.4,-0.2
80,thenceforth were your hearts hardened: they became like a rock and even worse in hardness. for among rocks there are some from which rivers gush forth; others there are which when split asunder send forth water; and others which sink for fear of allah. and allah is not unmindful of what ye do.,0.101,0.789,0.11,0.6,-0.4
81,"can ye (o ye men of faith) entertain the hope that they will believe in you?- seeing that a party of them heard the word of allah, and perverted it knowingly after they understood it.",0.079,0.679,0.242,0.0,0.0
82,"behold! when they meet the men of faith, they say: ""we believe"": but when they meet each other in private, they say: ""shall you tell them what allah hath revealed to you, that they may engage you in argument about it before your lord?""- do ye not understand (their aim)?",0.058,0.841,0.101,0.375,-0.0625
83,know they not that allah knoweth what they conceal and what they reveal?,0.0,1.0,0.0,0.0,0.0
84,"and there are among them illiterates, who know not the book, but (see therein their own) desires, and they do nothing but conjecture.",0.0,1.0,0.0,1.0,0.6
85,"then woe to those who write the book with their own hands, and then say:""this is from allah,"" to traffic with it for miserable price!- woe to them for what their hands do write, and for the gain they make thereby.",0.184,0.748,0.069,1.0,-0.2
86,"and they say: ""the fire shall not touch us but for a few numbered days:"" say: ""have ye taken a promise from allah, for he never breaks his promise? or is it that ye say of allah what ye do not know?""",0.097,0.84,0.064,0.1,-0.2
87,"nay, those who seek gain in evil, and are girt round by their sins,- they are companions of the fire: therein shall they abide (for ever).",0.278,0.625,0.097,0.7,-0.6
88,"but those who have faith and work righteousness, they are companions of the garden: therein shall they abide (for ever).",0.0,0.837,0.163,0.0,0.0
89,"and remember we took a covenant from the children of israel (to this effect): worship none but allah; treat with kindness your parents and kindred, and orphans and those in need; speak fair to the people; be steadfast in prayer; and practise regular charity. then did ye turn back, except a few among you, and ye backslide (even now).",0.041,0.75,0.209,0.3753846153846154,0.18000000000000002
90,"and remember we took your covenant (to this effect): shed no blood amongst you, nor turn out your own people from your homes: and this ye solemnly ratified, and to this ye can bear witness.",0.059,0.851,0.09,1.0,0.6
91,"after this it is ye, the same people, who slay among yourselves, and banish a party of you from their homes; assist (their enemies) against them, in guilt and rancour; and if they come to you as captives, ye ransom them, though it was not lawful for you to banish them. then is it only a part of the book that ye believe in, and do ye reject the rest? but what is the reward for those among you who behave like this but disgrace in this life?- and on the day of judgment they shall be consigned to the most grievous penalty. for allah is not unmindful of what ye do.",0.171,0.753,0.076,0.525,-0.06000000000000001
92,these are the people who buy the life of this world at the price of the hereafter: their penalty shall not be lightened nor shall they be helped.,0.1,0.9,0.0,0.0,0.0
93,"we gave moses the book and followed him up with a succession of messengers; we gave jesus the son of mary clear (signs) and strengthened him with the holy spirit. is it that whenever there comes to you a messenger with what ye yourselves desire not, ye are puffed up with pride?- some ye called impostors, and others ye slay!",0.0,0.791,0.209,0.3833333333333333,0.12500000000000003
94,"they say, ""our hearts are the wrappings (which preserve allah's word: we need no more)."" nay, allah's curse is on them for their blasphemy: little is it they believe.",0.164,0.717,0.119,0.5,-0.21875
95,"and when there comes to them a book from allah, confirming what is with them,- although from of old they had prayed for victory against those without faith,- when there comes to them that which they (should) have recognised, they refuse to believe in it but the curse of allah is on those without faith.",0.178,0.822,0.0,0.2,0.1
96,"miserable is the price for which they have sold their souls, in that they deny (the revelation) which allah has sent down, in insolent envy that allah of his grace should send it to any of his servants he pleases: thus have they drawn on themselves wrath upon wrath. and humiliating is the punishment of those who reject faith.",0.213,0.675,0.112,0.6444444444444445,-0.5777777777777778
97,"when it is said to them, ""believe in what allah hath sent down, ""they say, ""we believe in what was sent down to us:"" yet they reject all besides, even if it be truth confirming what is with them. say: ""why then have ye slain the prophets of allah in times gone by, if ye did indeed believe?""",0.044,0.918,0.038,0.2888888888888889,-0.15555555555555559
98,"there came to you moses with clear (signs); yet ye worshipped the calf (even) after that, and ye did behave wrongfully.",0.0,0.751,0.249,0.3833333333333333,0.10000000000000002
